company_code,short_name,country,isin_code,sector_group,sector,share_currency,reference_currency
7666,Patrimoine et C,France,FR0011027135,real estate,office commercial and industrial real estate,EUR,EUR
7667,Ausy old,Special Spare,dead ISIN 7667,services,engineering and technical services,EUR,EUR
7670,Groupe Gorge,France,FR0000062671,industrial,industrial equipment and light machinery,EUR,EUR
7671,Immob Dassault,France,FR0000033243,real estate,diversified real estate,EUR,EUR
7672,Aufeminin,France,FR0004042083,media publishing,advertising — marketing — media — e—commerce,EUR,EUR
7673,Groupe SFPI,France,FR0004155000,media publishing,publishing and printing,EUR,EUR
7674,Infotel,France,FR0000071797,IT,search cloud and integrated IT services,EUR,EUR
7675,Sword,France,FR0004180578,IT,search cloud and integrated IT services,EUR,EUR
7676,Nanobiotix,France,FR0011341205,healthcare,pharmaceuticals and biosciences,EUR,EUR
7677,Le Belier,France,FR0000072399,vehicles,auto parts and components,EUR,EUR
7678,Lanson BCC,France,FR0004027068,consumer,beverage manufacturers,EUR,EUR
7679,Fleury Michon,France,FR0000074759,consumer,food manufacturers,EUR,EUR
7680,Bourrelier,France,FR0000054421,industrial,building and construction materials,EUR,EUR
7681,Voyageurs DM,France,FR0004045847,consumer,hotels travel gambling and leisure,EUR,EUR
7682,Euro Ressources,France,FR0000054678,primary production,metals and minerals mining and exploration,EUR,EUR
7683,SIPH,France,FR0000036857,industrial,rubber and plastics,EUR,EUR
7684,Gaumont,France,FR0000034894,consumer,entertainment and broadcasting,EUR,EUR
7685,Esker,France,FR0000035818,IT,software providers,EUR,EUR
7686,Frey,France,FR0010588079,real estate,retail and malls real estate,EUR,EUR
7687,Damartex,France,FR0000185423,consumer,clothing and shoe manufacturers,EUR,EUR
7688,Voltalia,France,FR0011995588,utilities,electricity distribution and generation,EUR,EUR
7690,Casino Cannes,France,FR0000062101,consumer,hotels travel gambling and leisure,EUR,EUR
7691,LDLC,France,FR0000075442,IT,computers phones and devices,EUR,EUR
7692,Fonciere Inea,France,FR0010341032,real estate,office commercial and industrial real estate,EUR,EUR
7693,Valneva,France,FR0004056851,healthcare,pharmaceuticals and biosciences,EUR,EUR
7694,Orch Premaman,France,FR0010160564,consumer,clothing wholesale and retail,EUR,EUR
7695,Seche Environn,France,FR0000039109,industrial,waste and water management,EUR,EUR
7696,Baccarat,France,FR0000064123,industrial,glass and glass products,EUR,EUR
7697,Locindus,France,FR0000121352,real estate,real estate services,EUR,EUR
7698,Vranken,France,FR0000062796,consumer,beverage manufacturers,EUR,EUR
7699,Jacques Bogart,France,FR0012872141,consumer,cosmetics jewellery and luxury products,EUR,EUR
7700,IDI,France,FR0000051393,services,financial services,EUR,EUR
7701,Evolis,France,FR0004166197,industrial,office equipment and supplies non—IT,EUR,EUR
7702,Delta Plus,France,FR0012928612,consumer,clothing and shoe manufacturers,EUR,EUR
7703,Open,France,FR0004050300,IT,search cloud and integrated IT services,EUR,EUR
7704,Mgi Digital,France,FR0010353888,IT,computers phones and devices,EUR,EUR
7706,Malteries FB,France,FR0000030074,consumer,beverage manufacturers,EUR,EUR
7707,Lebon,France,FR0000121295,services,financial services,EUR,EUR
7708,SMTPC,France,FR0004016699,transport,roads tolls and traffic management,EUR,EUR
7709,ECA,France,FR0010099515,industrial,defence products,EUR,EUR
7710,Bastide Confort,France,FR0000035370,healthcare,medical equipment,EUR,EUR
7711,Amplitude Ortho,France,FR0012789667,healthcare,medical equipment,EUR,EUR
7712,Futuren,France,FR0011284991,utilities,electricity distribution and generation,EUR,EUR
7713,Ales Groupe,France,FR0000054652,consumer,cosmetics jewellery and luxury products,EUR,EUR
7714,PSB Industries,France,FR0000060329,industrial,packaging,EUR,EUR
7716,Gerard Perrier,France,FR0000061459,electrical electronic,electrical equipment,EUR,EUR
7717,Pcas,France,FR0000053514,chemicals,specialist chemicals,EUR,EUR
7718,Chauffage Urb,France,FR0000052896,utilities,gas and water utilities,EUR,EUR
7719,Amoeba,France,FR0011051598,industrial,waste and water management,EUR,EUR
7721,Affine RE,France,FR0000036105,real estate,office commercial and industrial real estate,EUR,EUR
7722,Abionyx Pharma,France,FR0012616852,healthcare,pharmaceuticals and biosciences,EUR,EUR
7723,SQLI,France,FR0011289040,IT,internet and networking services,EUR,EUR
7724,Olympique Lyonn,France,FR0010428771,consumer,entertainment and broadcasting,EUR,EUR
7725,Poxel,France,FR0012432516,healthcare,pharmaceuticals and biosciences,EUR,EUR
7726,Exacompta Clair,France,FR0000064164,industrial,paper products (not packaging),EUR,EUR
7727,Sergeferrari,France,FR0011950682,industrial,building and construction materials,EUR,EUR
